backend_type,bottleneck_category,concurrency,config_id,engine,evidence_match_rate,failed_metric_family,failed_slos,generation_contract_valid_rate,gpu_telemetry_scope,grounded_rate,json_valid_rate,mean_e2e_latency_ms,mean_total_tokens_per_second,mean_tpot_ms,mean_ttft_ms,memory_mode,model_alias,model_id,passed_slos,recommended_optimization_candidates,requests_attempted,requests_completed,requests_failed,runtime,safety_violation_count,slo_contract_validity,slo_evidence_match,slo_groundedness,slo_json_validity,slo_latency,slo_safety,slo_scope,slo_throughput,slo_tpot,slo_ttft,status,total_cost_usd,total_input_tokens,total_output_tokens,warning_slos
self_hosted_gpu,contract_validity,16,self_hosted_model3_7b_vllm_mm0_no_context_c16,vllm,0.0875,contract_validity,1,0.7975,self_hosted_gpu,0.0875,1.0,844.2072933539748,512.2408350534055,40.3228209401228,123.28600304259453,mm0_no_context,model3_7b,Qwen/Qwen2.5-7B-Instruct,6,generation_contract_prompt_repair,400,400,0,vllm,0,FAIL,ABLATION_REPORTED,ABLATION_REPORTED,PASS,PASS,PASS,no_context_ablation,PASS,PASS,PASS,COMPLETED,0.0,156544,7443,0
self_hosted_gpu,contract_validity,32,self_hosted_model3_7b_vllm_mm0_no_context_c32,vllm,0.0875,contract_validity,1,0.7975,self_hosted_gpu,0.0875,1.0,802.6488768693525,541.2250561787082,38.636962424041464,107.85357018234208,mm0_no_context,model3_7b,Qwen/Qwen2.5-7B-Instruct,6,generation_contract_prompt_repair,400,400,0,vllm,0,FAIL,ABLATION_REPORTED,ABLATION_REPORTED,PASS,PASS,PASS,no_context_ablation,PASS,PASS,PASS,COMPLETED,0.0,156544,7452,0
self_hosted_gpu,contract_validity;evidence_match;groundedness;safety,16,self_hosted_model3_7b_vllm_mm1_dense_top5_c16,vllm,0.68,contract_validity;evidence_match;groundedness;safety,4,0.8,self_hosted_gpu,0.68,1.0,1893.413701428799,498.4799417665012,52.80612374925843,206.21908347471617,mm1_dense_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,5,generation_contract_prompt_repair;retrieval_or_context_selection_repair;final_answer_safety_boundary_repair,400,400,0,vllm,5,FAIL,FAIL,FAIL,PASS,PASS,FAIL,deployability_contextual,PASS,PASS,PASS,COMPLETED,0.0,344463,13855,0
self_hosted_gpu,contract_validity;evidence_match;groundedness;safety,32,self_hosted_model3_7b_vllm_mm1_dense_top5_c32,vllm,0.6775,contract_validity;evidence_match;groundedness;safety,4,0.8,self_hosted_gpu,0.6775,1.0,2771.530289890943,366.2318175292074,71.1689236789179,502.6565434818622,mm1_dense_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,5,generation_contract_prompt_repair;retrieval_or_context_selection_repair;final_answer_safety_boundary_repair,400,400,0,vllm,5,FAIL,FAIL,FAIL,PASS,PASS,FAIL,deployability_contextual,PASS,PASS,PASS,COMPLETED,0.0,344463,13861,0
self_hosted_gpu,contract_validity;evidence_match;groundedness;safety,16,self_hosted_model3_7b_vllm_mm2_hybrid_top5_c16,vllm,0.6775,contract_validity;evidence_match;groundedness;safety,4,0.8,self_hosted_gpu,0.6775,1.0,1876.7578154994408,505.3747136748965,50.28718885798135,252.9296265001176,mm2_hybrid_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,5,generation_contract_prompt_repair;retrieval_or_context_selection_repair;final_answer_safety_boundary_repair,400,400,0,vllm,4,FAIL,FAIL,FAIL,PASS,PASS,FAIL,deployability_contextual,PASS,PASS,PASS,COMPLETED,0.0,344463,13913,0
self_hosted_gpu,contract_validity;evidence_match;groundedness;safety,32,self_hosted_model3_7b_vllm_mm2_hybrid_top5_c32,vllm,0.675,contract_validity;evidence_match;groundedness;safety,4,0.8,self_hosted_gpu,0.675,1.0,2673.4730740764644,375.6424222975282,68.00677784114463,529.847798619885,mm2_hybrid_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,5,generation_contract_prompt_repair;retrieval_or_context_selection_repair;final_answer_safety_boundary_repair,400,400,0,vllm,4,FAIL,FAIL,FAIL,PASS,PASS,FAIL,deployability_contextual,PASS,PASS,PASS,COMPLETED,0.0,344463,13857,0
self_hosted_gpu,contract_validity;evidence_match;groundedness;safety,16,self_hosted_model3_7b_vllm_mm3_compressed_hybrid_top5_c16,vllm,0.71,contract_validity;evidence_match;groundedness;safety,4,0.8,self_hosted_gpu,0.71,1.0,1886.349380230531,499.6111757523838,51.484744165074225,223.2482161570806,mm3_compressed_hybrid_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,5,generation_contract_prompt_repair;retrieval_or_context_selection_repair;final_answer_safety_boundary_repair,400,400,0,vllm,4,FAIL,FAIL,FAIL,PASS,PASS,FAIL,deployability_contextual,PASS,PASS,PASS,COMPLETED,0.0,344463,13910,0
self_hosted_gpu,contract_validity;evidence_match;groundedness;safety,32,self_hosted_model3_7b_vllm_mm3_compressed_hybrid_top5_c32,vllm,0.7025,contract_validity;evidence_match;groundedness;safety,4,0.8,self_hosted_gpu,0.7025,1.0,2738.643643388059,365.6589894764718,70.73573460589151,482.9820594348712,mm3_compressed_hybrid_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,5,generation_contract_prompt_repair;retrieval_or_context_selection_repair;final_answer_safety_boundary_repair,400,400,0,vllm,5,FAIL,FAIL,FAIL,PASS,PASS,FAIL,deployability_contextual,PASS,PASS,PASS,COMPLETED,0.0,344463,13907,0
self_hosted_gpu,contract_validity;evidence_match;groundedness;safety,16,self_hosted_model3_7b_vllm_mm4_bounded_agentic_c16,vllm,0.7,contract_validity;evidence_match;groundedness;safety,4,0.8,self_hosted_gpu,0.7,0.9975,1907.6206813543104,521.350960382418,54.872171418307495,274.3858027388342,mm4_bounded_agentic,model3_7b,Qwen/Qwen2.5-7B-Instruct,5,generation_contract_prompt_repair;retrieval_or_context_selection_repair;final_answer_safety_boundary_repair,400,400,0,vllm,2,FAIL,FAIL,FAIL,PASS,PASS,FAIL,deployability_contextual,PASS,PASS,PASS,COMPLETED,0.0,362463,12332,0
self_hosted_gpu,contract_validity;evidence_match;groundedness;safety,32,self_hosted_model3_7b_vllm_mm4_bounded_agentic_c32,vllm,0.7025,contract_validity;evidence_match;groundedness;safety,4,0.8,self_hosted_gpu,0.7025,0.9925,2630.3101271914784,386.80142195781605,69.17153465320077,599.0202013764065,mm4_bounded_agentic,model3_7b,Qwen/Qwen2.5-7B-Instruct,5,generation_contract_prompt_repair;retrieval_or_context_selection_repair;final_answer_safety_boundary_repair,400,400,0,vllm,2,FAIL,FAIL,FAIL,PASS,PASS,FAIL,deployability_contextual,PASS,PASS,PASS,COMPLETED,0.0,362463,12312,0
self_hosted_gpu,contract_validity,16,self_hosted_model3_7b_sglang_mm0_no_context_c16,sglang,0.09,contract_validity,1,0.7975,self_hosted_gpu,0.09,1.0,979.465879916097,447.14432238343716,40.710154969515806,123.75838832405861,mm0_no_context,model3_7b,Qwen/Qwen2.5-7B-Instruct,6,generation_contract_prompt_repair,400,400,0,sglang,0,FAIL,ABLATION_REPORTED,ABLATION_REPORTED,PASS,PASS,PASS,no_context_ablation,PASS,PASS,PASS,COMPLETED,0.0,156544,8701,0
self_hosted_gpu,contract_validity,32,self_hosted_model3_7b_sglang_mm0_no_context_c32,sglang,0.0925,contract_validity,1,0.7975,self_hosted_gpu,0.0925,1.0,868.5797009337693,502.38717070683225,37.54189110134555,86.50228692975361,mm0_no_context,model3_7b,Qwen/Qwen2.5-7B-Instruct,6,generation_contract_prompt_repair,400,400,0,sglang,0,FAIL,ABLATION_REPORTED,ABLATION_REPORTED,PASS,PASS,PASS,no_context_ablation,PASS,PASS,PASS,COMPLETED,0.0,156544,8707,0
